SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
000533;MAKROINDO;danoneaqua;06008;950062842;I;Y;N;;A;makroptcbb;;;;
000533;MAKROINDO;danoneaqua;06006;950069138;I;Y;N;;A;makroptcpb;;;;
000533;MAKROINDO;danoneaqua;06003;950066457;I;Y;N;;A;makroptkgb;;;;
000533;MAKROINDO;danoneaqua;06007;950063565;I;Y;N;;A;makroptasb;;;;
000533;MAKROINDO;danoneaqua;06026;950105124;I;Y;N;;A;makroptbgr;;;;
000533;MAKROINDO;danoneaqua;06023;950062843;I;Y;N;;A;makroptckb;;;;
000533;MAKROINDO;danoneaqua;06021;950063566;I;Y;N;;A;makroptjtb;;;;
000533;MAKROINDO;danoneaqua;06004;950063567;I;Y;N;;A;makroptmyb;;;;
000533;MAKROINDO;danoneaqua;06001;950066459;I;Y;N;;A;makrobaru;;;;
000533;MAKROINDO;danoneaqua;06018;950066456;I;Y;N;;A;makroptbkb;;;;
0028027;MAKROINDO;kaoptjkt;06030;17869964;I;Y;N;;A;makroptpknsari;;;;
021071;MAKROINDO;nestlept;06034;06D01;I;N;N;;A;makroptkrwg;;;;
021071;MAKROINDO;nestlept;06009;06D01;I;N;N;;A;makroptdpb;;;;
021071;MAKROINDO;nestlept;06013;06D01;I;N;N;;A;makroptmkb;;;;
021071;MAKROINDO;nestlept;06004;06D01;I;N;N;;A;makroptmyb;;;;
021071;MAKROINDO;nestlept;06011;06D01;I;N;N;;A;makroptsmb;;;;
021071;MAKROINDO;nestlept;06033;06D01;I;N;N;;A;makroptmnd;;;;
021071;MAKROINDO;nestlept;06D01;06D01;I;N;N;;A;makroxdocl;;;;
021071;MAKROINDO;nestlept;06005;06D01;I;N;N;;A;makroptbdb;;;;
021071;MAKROINDO;nestlept;06020;06D01;I;N;N;;A;makroptbpb;;;;
021071;MAKROINDO;nestlept;06032;06D01;I;N;N;;A;makroptsmd;;;;
021071;MAKROINDO;nestlept;06014;06D01;I;N;N;;A;makroptpbb;;;;
021071;MAKROINDO;nestlept;06039;06D01;I;N;N;;A;makropttgerang;;;;
021071;MAKROINDO;nestlept;06031;06D01;I;N;N;;A;makroptlmp;;;;
021071;MAKROINDO;nestlept;06021;06D01;I;N;N;;A;makroptjtb;;;;
021071;MAKROINDO;nestlept;06023;06D01;I;N;N;;A;makroptckb;;;;
021071;MAKROINDO;nestlept;06018;06D01;I;N;N;;A;makroptbkb;;;;
021071;MAKROINDO;nestlept;06024;06D01;I;N;N;;A;makroptcrb;;;;
021071;MAKROINDO;nestlept;06003;06D01;I;N;N;;A;makroptkgb;;;;
021071;MAKROINDO;nestlept;06008;06D01;I;N;N;;A;makroptcbb;;;;
021071;MAKROINDO;nestlept;06027;06D01;I;N;N;;A;makropttsk;;;;
021071;MAKROINDO;nestlept;06038;06D01;I;N;N;;A;makropttegal;;;;
021071;MAKROINDO;nestlept;06001;06D01;I;N;N;;A;makrobaru;;;;
021071;MAKROINDO;nestlept;06026;06D01;I;N;N;;A;makroptbgr;;;;
021071;MAKROINDO;nestlept;06036;06D01;I;N;N;;A;makroptcmhi;;;;
021071;MAKROINDO;nestlept;06016;06D01;I;N;N;;A;makroptygb;;;;
021071;MAKROINDO;nestlept;06015;06D01;I;N;N;;A;makroptprb;;;;
021071;MAKROINDO;nestlept;06006;06D01;I;N;N;;A;makroptcpb;;;;
021071;MAKROINDO;nestlept;06028;06D01;I;N;N;;A;makropttri;;;;
021071;MAKROINDO;nestlept;06037;06D01;I;N;N;;A;makroptmtrm;;;;
021071;MAKROINDO;nestlept;06017;06D01;I;N;N;;A;makroptbjb;;;;
021071;MAKROINDO;nestlept;06019;06D01;I;N;N;;A;makroptslb;;;;
021071;MAKROINDO;nestlept;06010;06D01;I;N;N;;A;makroptmdb;;;;
021071;MAKROINDO;nestlept;06002;06D01;I;N;N;;A;makroptsdb;;;;
021071;MAKROINDO;nestlept;06022;06D01;I;N;N;;A;makroptsrg;;;;
021071;MAKROINDO;nestlept;06030;06D01;I;N;N;;A;makroptpknsari;;;;
021071;MAKROINDO;nestlept;06007;06D01;I;N;N;;A;makroptasb;;;;
021071;MAKROINDO;nestlept;06029;06D01;I;N;N;;A;makroptbtm;;;;
021608;MAKROINDO;arnottspt;06022;467600;C;Y;N;;A;makroptsrg;;;;
021608;MAKROINDO;arnottspt;06024;467600;C;Y;N;;A;makroptcrb;;;;
021608;MAKROINDO;arnottspt;06016;467600;C;Y;N;;A;makroptygb;;;;
021608;MAKROINDO;arnottspt;06014;467600;C;Y;N;;A;makroptpbb;;;;
021608;MAKROINDO;arnottspt;06006;402200;C;Y;N;;A;makroptcpb;;;;
021608;MAKROINDO;arnottspt;06008;402400;C;Y;N;;A;makroptcbb;;;;
021608;MAKROINDO;arnottspt;06010;467600;C;Y;N;;A;makroptmdb;;;;
021608;MAKROINDO;arnottspt;06019;467600;C;Y;N;;A;makroptslb;;;;
